city,datetime,CO,NO2,O3,PM10,PM2.5,SO2,temperature_c,humidity_percent,pressure_hpa,wind_speed_kmh,wind_direction_deg,precipitation_mm,air_quality_good,year,month,estado
Lisboa,07/09/25 20:00,0.8,21.59,69.91,9.34,11.52,3.62,20.6,70.0,1017.9,15.2,338.0,0.0,True,2025,9,condicoes_seguras
Lisboa,07/09/25 21:00,0.78,19.07,68.83,23.07,13.93,5.58,19.7,77.0,1018.6,14.2,344.0,0.0,True,2025,9,risco_incendio_baixo
Lisboa,07/09/25 22:00,0.49,17.49,56.55,9.51,8.4,2.98,19.3,78.0,1019.4,11.7,349.0,0.0,True,2025,9,risco_incendio_baixo
Lisboa,07/09/25 23:00,0.37,17.61,55.47,10.53,6.08,4.14,18.9,81.0,1019.3,11.6,353.0,0.0,True,2025,9,risco_incendio_baixo
Lisboa,08/09/25 00:00,0.88,29.25,64.72,12.39,8.1,5.19,18.7,84.0,1019.6,10.9,354.0,0.0,True,2025,9,risco_incendio_baixo
Lisboa,08/09/25 01:00,0.72,27.7,64.55,24.63,12.66,4.95,18.7,85.0,1019.5,11.7,351.0,0.0,True,2025,9,risco_incendio_baixo
Lisboa,08/09/25 02:00,0.5,17.98,82.22,16.13,10.71,4.22,18.5,86.0,1019.3,12.3,353.0,0.0,True,2025,9,risco_incendio_baixo
Lisboa,08/09/25 03:00,0.56,17.36,66.29,14.29,8.19,3.78,18.3,86.0,1019.1,12.7,352.0,0.0,True,2025,9,risco_incendio_baixo
Lisboa,08/09/25 04:00,0.49,24.73,81.81,20.37,9.83,5.75,17.8,84.0,1019.3,14.5,354.0,0.0,True,2025,9,risco_incendio_baixo
Lisboa,08/09/25 05:00,0.69,19.59,95.91,22.15,10.9,6.98,17.4,84.0,1019.2,14.5,354.0,0.0,True,2025,9,risco_incendio_baixo
Lisboa,08/09/25 06:00,0.81,15.53,72.34,15.06,11.7,7.54,17.4,84.0,1019.2,14.5,354.0,0.0,True,2025,9,risco_incendio_baixo
Lisboa,08/09/25 07:00,1.9,62.35,109.42,29.23,24.48,12.05,17.0,79.0,1019.3,15.9,355.0,0.0,True,2025,9,risco_incendio_baixo
Lisboa,08/09/25 08:00,1.96,56.88,52.49,35.79,29.22,9.49,17.2,77.0,1019.8,14.8,354.0,0.0,True,2025,9,risco_incendio_baixo
Lisboa,08/09/25 09:00,1.95,76.47,111.13,26.57,29.64,11.52,17.8,71.0,1020.1,17.7,355.0,0.0,True,2025,9,risco_incendio_baixo
Lisboa,08/09/25 10:00,1.66,32.1,83.11,27.04,15.78,7.46,19.4,60.0,1020.5,20.2,356.0,0.0,True,2025,9,propagacao_rapida
Lisboa,08/09/25 11:00,1.14,42.87,83.85,32.6,16.07,7.2,20.5,52.0,1020.7,21.0,355.0,0.0,True,2025,9,propagacao_rapida
Lisboa,08/09/25 12:00,1.32,19.4,98.59,23.95,17.12,7.29,21.7,43.0,1020.7,22.4,354.0,0.0,True,2025,9,risco_incendio_moderado
Lisboa,08/09/25 13:00,1.14,36.32,81.99,27.75,20.2,10.91,22.5,39.0,1019.9,21.5,350.0,0.0,True,2025,9,risco_incendio_moderado
Lisboa,08/09/25 14:00,1.38,29.35,79.85,26.97,18.25,8.87,22.8,39.0,1019.7,22.6,351.0,0.0,True,2025,9,risco_incendio_moderado
Lisboa,08/09/25 15:00,1.27,46.07,104.16,29.6,18.36,9.77,23.2,36.0,1019.2,23.4,350.0,0.0,True,2025,9,risco_incendio_moderado
Lisboa,08/09/25 16:00,1.12,45.61,86.16,29.57,20.64,10.01,23.1,38.0,1019.2,24.4,347.0,0.0,True,2025,9,risco_incendio_moderado
Lisboa,08/09/25 17:00,1.34,55.37,66.63,38.17,24.84,11.08,22.5,39.0,1019.2,25.2,350.0,0.0,True,2025,9,risco_incendio_moderado
Lisboa,08/09/25 18:00,1.4,56.77,76.65,30.57,23.98,11.26,21.4,47.0,1019.1,24.6,348.0,0.0,True,2025,9,risco_incendio_moderado
Lisboa,08/09/25 19:00,2.44,49.66,111.94,43.21,28.18,12.99,20.3,54.0,1019.4,23.1,349.0,0.0,True,2025,9,propagacao_rapida
Lisboa,08/09/25 20:00,1.31,31.7,81.78,27.43,19.5,11.36,18.9,66.0,1019.7,21.3,349.0,0.0,True,2025,9,propagacao_rapida
Lisboa,08/09/25 21:00,1.32,36.8,91.3,32.48,8.16,8.46,18.2,70.0,1020.2,19.7,351.0,0.0,True,2025,9,condicoes_seguras
Lisboa,08/09/25 22:00,0.61,23.5,81.86,20.62,11.65,5.74,17.7,72.0,1020.4,19.7,352.0,0.0,True,2025,9,risco_incendio_baixo
Lisboa,08/09/25 23:00,0.88,14.22,71.2,14.26,9.39,2.08,17.5,72.0,1020.4,18.9,351.0,0.0,True,2025,9,risco_incendio_baixo
Lisboa,09/09/25 00:00,0.59,29.3,83.13,18.18,12.32,1.96,17.4,72.0,1020.7,18.2,352.0,0.0,True,2025,9,risco_incendio_baixo
Lisboa,09/09/25 01:00,0.86,28.16,89.07,10.26,12.45,6.54,17.2,75.0,1020.0,19.6,353.0,0.0,True,2025,9,risco_incendio_baixo
Lisboa,09/09/25 02:00,0.6,10.84,71.59,11.04,11.65,5.26,17.2,75.0,1020.2,19.2,352.0,0.0,True,2025,9,risco_incendio_baixo
Lisboa,09/09/25 03:00,0.67,31.3,61.23,19.2,13.29,7.19,17.0,75.0,1019.9,18.5,353.0,0.0,True,2025,9,risco_incendio_baixo
Lisboa,09/09/25 04:00,0.88,18.9,57.38,14.33,10.68,6.43,16.6,77.0,1020.2,17.4,353.0,0.0,True,2025,9,risco_incendio_baixo
Lisboa,09/09/25 05:00,0.5,18.93,55.05,17.88,7.78,4.11,16.5,77.0,1020.1,17.1,352.0,0.0,True,2025,9,risco_incendio_baixo
Lisboa,09/09/25 06:00,0.81,15.13,77.08,8.53,9.4,2.84,16.4,77.0,1019.9,16.5,350.0,0.0,True,2025,9,risco_incendio_baixo
Lisboa,09/09/25 07:00,1.87,29.4,96.39,46.86,23.91,12.09,16.2,79.0,1020.2,14.8,346.0,0.0,True,2025,9,risco_incendio_baixo
Lisboa,09/09/25 08:00,1.94,55.87,94.04,32.87,31.35,10.39,16.5,77.0,1020.5,14.1,345.0,0.0,True,2025,9,risco_incendio_baixo
Lisboa,09/09/25 09:00,1.59,58.89,97.09,31.34,19.75,6.12,17.7,71.0,1020.8,16.9,348.0,0.0,True,2025,9,risco_incendio_baixo
Lisboa,09/09/25 10:00,1.36,36.15,83.62,29.63,20.77,8.35,19.1,61.0,1021.0,19.1,349.0,0.0,True,2025,9,condicoes_seguras
Lisboa,09/09/25 11:00,1.15,41.19,81.99,32.94,17.57,7.73,20.1,54.0,1021.4,20.6,348.0,0.0,True,2025,9,propagacao_rapida
Lisboa,09/09/25 12:00,1.12,52.16,75.06,33.52,28.16,6.71,21.0,51.0,1021.4,21.7,345.0,0.0,True,2025,9,propagacao_rapida
Lisboa,09/09/25 13:00,1.07,31.15,83.0,25.46,17.21,9.8,22.1,45.0,1020.9,20.9,345.0,0.0,True,2025,9,risco_incendio_moderado
Lisboa,09/09/25 14:00,1.41,44.6,71.73,28.31,20.6,9.72,22.5,48.0,1020.9,21.1,340.0,0.0,True,2025,9,risco_incendio_moderado
Lisboa,09/09/25 15:00,1.45,44.01,92.98,26.63,19.5,5.93,22.4,48.0,1020.7,21.6,334.0,0.0,True,2025,9,risco_incendio_moderado
Lisboa,09/09/25 16:00,0.87,39.47,57.99,31.92,19.91,9.39,22.4,48.0,1020.5,22.1,334.0,0.0,True,2025,9,risco_incendio_moderado
Lisboa,09/09/25 17:00,1.63,62.19,56.45,28.95,17.7,11.67,22.0,53.0,1020.1,20.6,331.0,0.0,True,2025,9,propagacao_rapida
Lisboa,09/09/25 18:00,1.73,58.59,96.15,28.97,33.65,9.89,21.5,57.0,1020.2,20.1,327.0,0.0,True,2025,9,propagacao_rapida
Lisboa,09/09/25 19:00,2.0,58.49,95.08,36.1,20.32,10.78,20.5,64.0,1020.2,17.7,322.0,0.0,True,2025,9,condicoes_seguras
Lisboa,09/09/25 20:00,1.18,42.04,96.32,24.06,22.52,8.35,19.7,69.0,1020.4,14.4,323.0,0.0,True,2025,9,condicoes_seguras
Lisboa,09/09/25 21:00,1.37,35.64,96.08,25.88,17.38,6.31,19.1,78.0,1020.8,12.5,321.0,0.0,True,2025,9,risco_incendio_baixo
Lisboa,09/09/25 22:00,0.96,19.2,73.46,8.68,7.42,4.64,18.9,84.0,1021.1,8.5,306.0,0.0,True,2025,9,risco_incendio_baixo
Lisboa,09/09/25 23:00,0.67,31.85,92.73,13.91,16.69,5.75,18.9,84.0,1020.9,6.6,292.0,0.0,True,2025,9,risco_incendio_baixo
Lisboa,10/09/25 00:00,0.79,16.32,61.8,19.88,11.89,4.16,18.9,87.0,1020.4,5.8,292.0,0.0,True,2025,9,risco_incendio_baixo
Lisboa,10/09/25 01:00,0.6,19.15,75.87,8.4,10.4,5.02,18.9,89.0,1020.5,5.9,284.0,0.0,True,2025,9,risco_incendio_baixo
Lisboa,10/09/25 02:00,0.93,17.49,58.2,13.99,11.55,6.49,18.9,90.0,1020.3,6.0,295.0,0.0,True,2025,9,risco_incendio_baixo
Lisboa,10/09/25 03:00,0.71,28.74,72.91,12.28,11.06,3.4,19.1,90.0,1019.9,8.1,302.0,0.0,True,2025,9,risco_incendio_baixo
Lisboa,10/09/25 04:00,0.88,18.5,69.74,20.79,9.75,4.91,19.0,89.0,1019.8,7.5,305.0,0.0,True,2025,9,risco_incendio_baixo
Lisboa,10/09/25 05:00,0.8,27.43,72.7,14.56,10.97,4.96,19.1,89.0,1019.5,7.5,305.0,0.0,True,2025,9,risco_incendio_baixo
Lisboa,10/09/25 06:00,0.66,21.09,78.63,13.14,10.62,6.83,19.0,90.0,1019.7,6.2,306.0,0.0,True,2025,9,risco_incendio_baixo
Lisboa,10/09/25 07:00,1.68,59.9,79.66,29.56,27.72,13.55,19.1,90.0,1020.2,6.4,286.0,0.0,True,2025,9,risco_incendio_baixo
Lisboa,10/09/25 08:00,2.16,44.86,98.8,34.02,23.77,16.28,19.3,89.0,1020.7,5.5,293.0,0.0,True,2025,9,risco_incendio_baixo
Lisboa,10/09/25 09:00,1.97,44.3,66.72,25.97,29.83,9.24,20.4,82.0,1021.2,8.8,305.0,0.0,True,2025,9,risco_incendio_baixo
Lisboa,10/09/25 10:00,1.56,44.1,90.55,28.83,19.83,10.38,21.7,76.0,1021.4,12.3,322.0,0.0,True,2025,9,risco_incendio_baixo
Lisboa,10/09/25 11:00,1.31,32.97,86.97,31.91,17.94,8.72,22.7,69.0,1021.7,13.5,314.0,0.0,True,2025,9,condicoes_seguras
Lisboa,10/09/25 12:00,1.08,43.87,68.12,16.97,25.53,8.67,23.5,65.0,1021.4,15.1,310.0,0.0,True,2025,9,condicoes_seguras
Lisboa,10/09/25 13:00,1.55,55.05,111.13,30.75,13.9,9.12,22.6,73.0,1021.7,14.7,306.0,0.0,True,2025,9,risco_incendio_baixo
Lisboa,10/09/25 14:00,1.0,43.18,95.22,30.01,25.69,7.58,24.4,62.0,1021.0,14.3,309.0,0.0,True,2025,9,condicoes_seguras
Lisboa,10/09/25 15:00,1.26,36.74,65.71,38.26,28.76,9.0,23.6,68.0,1021.0,13.4,306.0,0.0,True,2025,9,condicoes_seguras
Lisboa,10/09/25 16:00,1.21,44.22,65.35,32.8,21.21,10.26,23.2,74.0,1020.7,13.8,309.0,0.1,True,2025,9,risco_incendio_baixo
Lisboa,10/09/25 17:00,1.66,55.87,82.56,44.85,29.47,9.44,23.2,74.0,1020.6,11.8,310.0,0.0,True,2025,9,risco_incendio_baixo
Lisboa,10/09/25 18:00,2.19,45.75,108.2,40.02,26.62,10.43,23.3,72.0,1020.6,12.8,320.0,0.0,True,2025,9,risco_incendio_baixo
Lisboa,10/09/25 19:00,1.73,48.33,77.38,36.58,28.9,15.2,22.5,78.0,1020.7,11.3,323.0,0.0,True,2025,9,risco_incendio_baixo
Lisboa,10/09/25 20:00,1.11,48.47,88.18,28.47,17.72,8.89,21.6,82.0,1020.9,9.5,323.0,0.0,True,2025,9,risco_incendio_baixo
Lisboa,10/09/25 21:00,1.19,39.92,85.72,24.25,10.05,9.09,20.9,86.0,1021.2,6.6,315.0,0.0,True,2025,9,risco_incendio_baixo
Lisboa,10/09/25 22:00,0.83,16.65,73.99,20.36,15.21,3.15,20.6,88.0,1022.1,3.8,311.0,0.0,True,2025,9,risco_incendio_baixo
Lisboa,10/09/25 23:00,1.01,22.06,81.06,16.14,8.15,1.29,20.5,88.0,1022.2,5.8,300.0,0.0,True,2025,9,risco_incendio_baixo
Lisboa,11/09/25 00:00,0.69,23.17,81.33,13.67,12.3,5.81,20.0,85.0,1022.6,9.2,321.0,0.0,True,2025,9,risco_incendio_baixo
Lisboa,11/09/25 01:00,0.88,16.31,76.59,17.21,7.15,2.72,19.8,89.0,1022.8,6.0,327.0,0.0,True,2025,9,risco_incendio_baixo
Lisboa,11/09/25 02:00,0.72,22.28,68.05,18.81,7.91,4.99,19.7,90.0,1022.9,3.7,331.0,0.0,True,2025,9,risco_incendio_baixo
Lisboa,11/09/25 03:00,0.68,21.2,76.89,8.01,11.77,6.79,19.5,90.0,1022.4,4.1,322.0,0.0,True,2025,9,risco_incendio_baixo
Lisboa,11/09/25 04:00,0.53,19.87,82.08,12.56,9.47,4.43,19.0,89.0,1022.1,6.5,341.0,0.0,True,2025,9,risco_incendio_baixo
Lisboa,11/09/25 05:00,0.75,25.63,75.69,14.19,11.26,2.08,18.6,89.0,1022.0,6.3,347.0,0.0,True,2025,9,risco_incendio_baixo
Lisboa,11/09/25 06:00,0.79,24.28,61.13,13.19,10.06,3.14,18.2,88.0,1022.1,6.2,350.0,0.0,True,2025,9,risco_incendio_baixo
Lisboa,11/09/25 07:00,2.5,31.62,74.97,39.59,20.78,15.5,18.1,91.0,1022.4,5.9,349.0,0.0,True,2025,9,risco_incendio_baixo
Lisboa,11/09/25 08:00,1.78,37.35,99.65,36.01,34.84,13.13,18.2,90.0,1022.7,5.0,360.0,0.0,True,2025,9,risco_incendio_baixo
Lisboa,11/09/25 09:00,1.62,55.29,100.58,37.54,26.54,11.27,19.2,83.0,1023.1,10.5,6.0,0.0,True,2025,9,risco_incendio_baixo
Lisboa,11/09/25 10:00,0.74,39.28,74.52,21.48,23.14,10.24,20.9,74.0,1023.4,11.3,7.0,0.0,True,2025,9,risco_incendio_baixo
Lisboa,11/09/25 11:00,1.38,30.52,84.35,22.41,20.27,10.54,22.4,67.0,1023.9,14.1,3.0,0.0,True,2025,9,condicoes_seguras
Lisboa,11/09/25 12:00,1.65,45.05,70.7,24.83,20.22,6.09,23.8,59.0,1023.9,13.7,3.0,0.0,True,2025,9,condicoes_seguras
Lisboa,11/09/25 13:00,0.96,24.04,91.22,33.94,20.84,10.2,24.5,58.0,1023.2,14.0,360.0,0.0,True,2025,9,condicoes_seguras
Lisboa,11/09/25 14:00,1.86,30.17,79.18,24.89,20.08,10.94,25.4,54.0,1023.0,15.5,1.0,0.0,True,2025,9,condicoes_quente_humido
Lisboa,11/09/25 15:00,1.55,37.9,104.14,25.88,14.1,10.1,26.0,52.0,1022.6,16.2,357.0,0.0,True,2025,9,condicoes_quente_humido
Lisboa,11/09/25 16:00,1.3,44.74,76.89,32.93,22.75,9.48,26.3,52.0,1022.3,17.8,353.0,0.0,True,2025,9,condicoes_quente_humido
Lisboa,11/09/25 17:00,1.74,58.72,90.97,35.97,34.94,11.19,25.4,55.0,1021.9,19.1,349.0,0.0,True,2025,9,condicoes_quente_humido
Lisboa,11/09/25 18:00,1.72,57.07,101.85,26.31,32.26,9.46,24.2,60.0,1021.7,18.8,348.0,0.0,True,2025,9,condicoes_seguras
Lisboa,11/09/25 19:00,1.78,62.67,96.58,44.2,26.72,14.3,23.1,66.0,1021.9,16.9,349.0,0.0,True,2025,9,condicoes_seguras
Lisboa,11/09/25 20:00,0.77,39.84,81.94,20.63,21.1,8.11,21.4,75.0,1022.1,15.7,351.0,0.0,True,2025,9,risco_incendio_baixo
Lisboa,11/09/25 21:00,1.54,22.9,66.09,25.6,19.21,8.0,20.4,81.0,1022.5,13.5,351.0,0.0,True,2025,9,risco_incendio_baixo
Lisboa,11/09/25 22:00,0.5,19.79,66.79,13.43,11.77,3.36,19.9,85.0,1022.6,10.6,350.0,0.0,True,2025,9,risco_incendio_baixo
Lisboa,11/09/25 23:00,0.83,16.08,48.23,13.01,14.62,4.82,19.6,86.0,1022.4,11.3,353.0,0.0,True,2025,9,risco_incendio_baixo
